{'time': 1618353981001, 'event': 'Zoom', 'target': 'Lincoln'}
{'time': 1618354010721, 'event': 'Zoom', 'target': 'San Miguel'}
{'time': 1618354021198, 'event': 'Zoom', 'target': 'Kiowa'}
{'time': 1618354029610, 'event': 'Zoom', 'target': 'Lauderdale'}
{'time': 1618354321462, 'event': 'Zoom', 'target': 'Harris'}
{'time': 1618354323081, 'event': 'Zoom', 'target': 'Harris'}
{'time': 1618354447984, 'event': 'Zoom', 'target': ''}
{'time': 1618354460069, 'event': 'Zoom', 'target': 'Jasper'}
{'time': 1618354462021, 'event': 'Zoom', 'target': 'Newton'}
{'time': 1618354463392, 'event': 'Zoom', 'target': 'Newton'}
{'time': 1618354465117, 'event': 'Zoom', 'target': 'Lincoln'}
{'time': 1618354467134, 'event': 'Zoom', 'target': 'Richland'}
{'time': 1618354469962, 'event': 'Zoom', 'target': 'Bell'}
{'time': 1618354471476, 'event': 'Zoom', 'target': 'Coryell'}
{'time': 1618354472605, 'event': 'Zoom', 'target': 'Lampasas'}
{'time': 1618354478318, 'event': 'Zoom', 'target': 'Comal'}
{'time': 1618354480047, 'event': 'Zoom', 'target': 'Guadalupe'}
{'time': 1618354498986, 'event': 'Mouse over geomap', 'target': 'Gila'}
{'time': 1618354499089, 'event': 'Mouse over geomap', 'target': 'Gila'}
{'time': 1618354499105, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499174, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499190, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499199, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499216, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499236, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499257, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499261, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499273, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499285, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499300, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499303, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499314, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499325, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499343, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499372, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499381, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499387, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499398, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499405, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499425, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499483, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499507, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499528, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499532, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499543, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499560, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499570, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354499587, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354500161, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354504502, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354504512, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354504523, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354504536, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354504556, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354504548, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354504568, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354504579, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354504590, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354504602, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354504611, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354504622, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354504635, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354504646, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354504674, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354504703, 'event': 'Mouse over geomap', 'target': 'Navajo'}
